"f_1110-1"	"Points:0"	"Points:1"	"Points:2"
-0.020688	-0.5	-0.1	0
-0.11489	-0.25	-0.1	0
2.199	0.25	-0.1	0
-0.020688	0.5	-0.1	0
-0.020688	0.5	0.1	0
2.199	0.25	0.1	0
-0.11489	-0.25	0.1	0
-0.020688	-0.5	0.1	0
-0.090995	-0.49	-0.1	0
-0.15687	-0.48	-0.1	0
-0.21813	-0.47	-0.1	0
-0.2744	-0.46	-0.1	0
-0.32544	-0.45	-0.1	0
-0.37118	-0.44	-0.1	0
-0.41129	-0.43	-0.1	0
-0.44569	-0.42	-0.1	0
-0.47426	-0.41	-0.1	0
-0.49676	-0.4	-0.1	0
-0.51335	-0.39	-0.1	0
-0.5237	-0.38	-0.1	0
-0.52788	-0.37	-0.1	0
-0.52593	-0.36	-0.1	0
-0.51778	-0.35	-0.1	0
-0.50353	-0.34	-0.1	0
-0.48312	-0.33	-0.1	0
-0.45674	-0.32	-0.1	0
-0.42428	-0.31	-0.1	0
-0.38616	-0.3	-0.1	0
-0.34241	-0.29	-0.1	0
-0.29325	-0.28	-0.1	0
-0.2387	-0.27	-0.1	0
-0.17913	-0.26	-0.1	0
-0.045744	-0.24	-0.1	0
0.027934	-0.23	-0.1	0
0.10578	-0.22	-0.1	0
0.18786	-0.21	-0.1	0
0.27361	-0.2	-0.1	0
0.36273	-0.19	-0.1	0
0.45484	-0.18	-0.1	0
0.54946	-0.17	-0.1	0
0.64631	-0.16	-0.1	0
0.74496	-0.15	-0.1	0
0.84506	-0.14	-0.1	0
0.94613	-0.13	-0.1	0
1.0477	-0.12	-0.1	0
1.1495	-0.11	-0.1	0
1.2511	-0.1	-0.1	0
1.3519	-0.09	-0.1	0
1.4516	-0.08	-0.1	0
1.5498	-0.07	-0.1	0
1.6461	-0.06	-0.1	0
1.7401	-0.05	-0.1	0
1.8314	-0.04	-0.1	0
1.9195	-0.03	-0.1	0
2.0042	-0.02	-0.1	0
2.0852	-0.01	-0.1	0
2.1619	-6.8806e-13	-0.1	0
2.2343	0.01	-0.1	0
2.3018	0.02	-0.1	0
2.3644	0.03	-0.1	0
2.4218	0.04	-0.1	0
2.4736	0.05	-0.1	0
2.5195	0.06	-0.1	0
2.5595	0.07	-0.1	0
2.5935	0.08	-0.1	0
2.6213	0.09	-0.1	0
2.6426	0.1	-0.1	0
2.6575	0.11	-0.1	0
2.6658	0.12	-0.1	0
2.6676	0.13	-0.1	0
2.6628	0.14	-0.1	0
2.6514	0.15	-0.1	0
2.6336	0.16	-0.1	0
2.6092	0.17	-0.1	0
2.5785	0.18	-0.1	0
2.5417	0.19	-0.1	0
2.4987	0.2	-0.1	0
2.4497	0.21	-0.1	0
2.395	0.22	-0.1	0
2.3345	0.23	-0.1	0
2.2695	0.24	-0.1	0
2.1295	0.26	-0.1	0
2.0559	0.27	-0.1	0
1.9785	0.28	-0.1	0
1.8973	0.29	-0.1	0
1.8127	0.3	-0.1	0
1.7251	0.31	-0.1	0
1.6349	0.32	-0.1	0
1.5423	0.33	-0.1	0
1.4479	0.34	-0.1	0
1.3518	0.35	-0.1	0
1.2545	0.36	-0.1	0
1.1564	0.37	-0.1	0
1.0578	0.38	-0.1	0
0.95925	0.39	-0.1	0
0.861	0.4	-0.1	0
0.76348	0.41	-0.1	0
0.66706	0.42	-0.1	0
0.57211	0.43	-0.1	0
0.47907	0.44	-0.1	0
0.38822	0.45	-0.1	0
0.29997	0.46	-0.1	0
0.21461	0.47	-0.1	0
0.13256	0.48	-0.1	0
0.05407	0.49	-0.1	0
-0.020438	0.5	-0.09	0
-0.020468	0.5	-0.08	0
-0.020681	0.5	-0.07	0
-0.020546	0.5	-0.06	0
-0.020484	0.5	-0.05	0
-0.02065	0.5	-0.04	0
-0.020521	0.5	-0.03	0
-0.020631	0.5	-0.02	0
-0.02047	0.5	-0.01	0
-0.020614	0.5	-2.6559e-13	0
-0.02047	0.5	0.01	0
-0.02051	0.5	0.02	0
-0.020524	0.5	0.03	0
-0.020709	0.5	0.04	0
-0.020569	0.5	0.05	0
-0.020682	0.5	0.06	0
-0.020518	0.5	0.07	0
-0.0205	0.5	0.08	0
-0.020466	0.5	0.09	0
0.05407	0.49	0.1	0
0.13256	0.48	0.1	0
0.21461	0.47	0.1	0
0.29997	0.46	0.1	0
0.38822	0.45	0.1	0
0.47907	0.44	0.1	0
0.57211	0.43	0.1	0
0.66706	0.42	0.1	0
0.76348	0.41	0.1	0
0.861	0.4	0.1	0
0.95925	0.39	0.1	0
1.0578	0.38	0.1	0
1.1564	0.37	0.1	0
1.2545	0.36	0.1	0
1.3518	0.35	0.1	0
1.4479	0.34	0.1	0
1.5423	0.33	0.1	0
1.6349	0.32	0.1	0
1.7251	0.31	0.1	0
1.8127	0.3	0.1	0
1.8973	0.29	0.1	0
1.9785	0.28	0.1	0
2.0559	0.27	0.1	0
2.1295	0.26	0.1	0
2.2695	0.24	0.1	0
2.3345	0.23	0.1	0
2.395	0.22	0.1	0
2.4497	0.21	0.1	0
2.4987	0.2	0.1	0
2.5417	0.19	0.1	0
2.5785	0.18	0.1	0
2.6092	0.17	0.1	0
2.6336	0.16	0.1	0
2.6514	0.15	0.1	0
2.6628	0.14	0.1	0
2.6676	0.13	0.1	0
2.6658	0.12	0.1	0
2.6575	0.11	0.1	0
2.6426	0.1	0.1	0
2.6213	0.09	0.1	0
2.5935	0.08	0.1	0
2.5595	0.07	0.1	0
2.5195	0.06	0.1	0
2.4736	0.05	0.1	0
2.4218	0.04	0.1	0
2.3644	0.03	0.1	0
2.3018	0.02	0.1	0
2.2343	0.01	0.1	0
2.1619	6.8806e-13	0.1	0
2.0852	-0.01	0.1	0
2.0042	-0.02	0.1	0
1.9195	-0.03	0.1	0
1.8314	-0.04	0.1	0
1.7401	-0.05	0.1	0
1.6461	-0.06	0.1	0
1.5498	-0.07	0.1	0
1.4516	-0.08	0.1	0
1.3519	-0.09	0.1	0
1.2511	-0.1	0.1	0
1.1495	-0.11	0.1	0
1.0477	-0.12	0.1	0
0.94613	-0.13	0.1	0
0.84506	-0.14	0.1	0
0.74496	-0.15	0.1	0
0.64631	-0.16	0.1	0
0.54946	-0.17	0.1	0
0.45484	-0.18	0.1	0
0.36273	-0.19	0.1	0
0.27361	-0.2	0.1	0
0.18786	-0.21	0.1	0
0.10578	-0.22	0.1	0
0.027934	-0.23	0.1	0
-0.045744	-0.24	0.1	0
-0.17913	-0.26	0.1	0
-0.2387	-0.27	0.1	0
-0.29325	-0.28	0.1	0
-0.34241	-0.29	0.1	0
-0.38616	-0.3	0.1	0
-0.42428	-0.31	0.1	0
-0.45674	-0.32	0.1	0
-0.48312	-0.33	0.1	0
-0.50353	-0.34	0.1	0
-0.51778	-0.35	0.1	0
-0.52593	-0.36	0.1	0
-0.52788	-0.37	0.1	0
-0.5237	-0.38	0.1	0
-0.51335	-0.39	0.1	0
-0.49676	-0.4	0.1	0
-0.47426	-0.41	0.1	0
-0.44569	-0.42	0.1	0
-0.41129	-0.43	0.1	0
-0.37118	-0.44	0.1	0
-0.32544	-0.45	0.1	0
-0.2744	-0.46	0.1	0
-0.21813	-0.47	0.1	0
-0.15687	-0.48	0.1	0
-0.090995	-0.49	0.1	0
-0.020466	-0.5	0.09	0
-0.0205	-0.5	0.08	0
-0.020518	-0.5	0.07	0
-0.020682	-0.5	0.06	0
-0.020569	-0.5	0.05	0
-0.020709	-0.5	0.04	0
-0.020524	-0.5	0.03	0
-0.02051	-0.5	0.02	0
-0.02047	-0.5	0.01	0
-0.020614	-0.5	2.6559e-13	0
-0.02047	-0.5	-0.01	0
-0.020631	-0.5	-0.02	0
-0.020521	-0.5	-0.03	0
-0.02065	-0.5	-0.04	0
-0.020484	-0.5	-0.05	0
-0.020546	-0.5	-0.06	0
-0.020681	-0.5	-0.07	0
-0.020468	-0.5	-0.08	0
-0.020438	-0.5	-0.09	0
-0.11471	-0.25	0.09	0
-0.11449	-0.25	0.08	0
-0.11497	-0.25	0.07	0
-0.11479	-0.25	0.06	0
-0.11504	-0.25	0.05	0
-0.11466	-0.25	0.04	0
-0.11461	-0.25	0.03	0
-0.11469	-0.25	0.02	0
-0.11497	-0.25	0.01	0
-0.11462	-0.25	2.6559e-13	0
-0.11467	-0.25	-0.01	0
-0.11486	-0.25	-0.02	0
-0.11461	-0.25	-0.03	0
-0.11473	-0.25	-0.04	0
-0.11489	-0.25	-0.05	0
-0.1148	-0.25	-0.06	0
-0.1148	-0.25	-0.07	0
-0.11462	-0.25	-0.08	0
-0.11466	-0.25	-0.09	0
2.1989	0.25	0.09	0
2.1986	0.25	0.08	0
2.199	0.25	0.07	0
2.199	0.25	0.06	0
2.199	0.25	0.05	0
2.1988	0.25	0.04	0
2.1987	0.25	0.03	0
2.1988	0.25	0.02	0
2.1991	0.25	0.01	0
2.1988	0.25	2.6559e-13	0
2.1988	0.25	-0.01	0
2.1991	0.25	-0.02	0
2.1987	0.25	-0.03	0
2.1988	0.25	-0.04	0
2.199	0.25	-0.05	0
2.199	0.25	-0.06	0
2.1991	0.25	-0.07	0
2.1987	0.25	-0.08	0
2.1989	0.25	-0.09	0
-0.51934	-0.385	-2.0817e-17	0
-0.46161	-0.32175	0.030076	0
-0.48341	-0.33021	-0.03499	0
-0.38498	-0.43669	0.036694	0
-0.3919	-0.43503	-0.035604	0
-0.52813	-0.37003	0.049478	0
-0.52513	-0.37785	-0.049604	0
-0.36438	-0.29492	-0.0076492	0
-0.35633	-0.29305	-0.056948	0
-0.28291	-0.45837	-0.0012153	0
-0.34874	-0.29139	0.058605	0
-0.48426	-0.40586	0.062681	0
-0.51269	-0.34598	-6.7803e-06	0
-0.24895	-0.46462	0.061002	0
-0.25255	-0.46401	-0.063219	0
-0.49344	-0.33483	0.063638	0
-0.4415	-0.42136	0.003541	0
-0.46877	-0.41201	-0.063567	0
-0.51443	-0.34714	-0.065353	0
-0.31634	-0.28458	0.024955	0
-0.48925	-0.40363	-0.029576	0
-0.49524	-0.4008	0.029124	0
-0.22728	-0.46845	0.030124	0
-0.22955	-0.46805	-0.030109	0
-0.52517	-0.35901	-0.026837	0
-0.39685	-0.43377	0.070492	0
-0.45169	-0.31839	-0.07132	0
-0.28597	-0.27863	-0.031587	0
-0.51599	-0.34868	0.027717	0
-0.52196	-0.38211	0.072725	0
-0.38122	-0.4376	-0.073793	0
-0.45549	-0.31963	0.0025951	0
-0.51571	-0.38807	-0.073966	0
-0.52673	-0.37424	0.023501	0
-0.40479	-0.30472	-0.031175	0
-0.43172	-0.31213	0.074854	0
-0.26799	-0.27528	-0.073361	0
-0.52414	-0.35717	0.075386	0
-0.26244	-0.27422	0.07514	0
-0.26537	-0.27479	0.004924	0
-0.37992	-0.43792	-0.014188	0
-0.43594	-0.31341	0.049858	0
-0.25438	-0.27277	0.045439	0
-0.52238	-0.38164	-0.022746	0
-0.52769	-0.36486	-0.078753	0
-0.36731	-0.44086	0.014626	0
-0.17333	-0.47737	0.010852	0
-0.37871	-0.29823	-0.078284	0
