"f_788-1"	"Points:0"	"Points:1"	"Points:2"
-0.87055	-0.5	-0.1	0
-1.8662	-0.25	-0.1	0
2.083	0.25	-0.1	0
-0.87055	0.5	-0.1	0
-0.87055	0.5	0.1	0
2.083	0.25	0.1	0
-1.8662	-0.25	0.1	0
-0.87055	-0.5	0.1	0
-0.99097	-0.49	-0.1	0
-1.1071	-0.48	-0.1	0
-1.2186	-0.47	-0.1	0
-1.3248	-0.46	-0.1	0
-1.4255	-0.45	-0.1	0
-1.5202	-0.44	-0.1	0
-1.6085	-0.43	-0.1	0
-1.6902	-0.42	-0.1	0
-1.7648	-0.41	-0.1	0
-1.8321	-0.4	-0.1	0
-1.892	-0.39	-0.1	0
-1.944	-0.38	-0.1	0
-1.988	-0.37	-0.1	0
-2.024	-0.36	-0.1	0
-2.0517	-0.35	-0.1	0
-2.071	-0.34	-0.1	0
-2.0818	-0.33	-0.1	0
-2.0842	-0.32	-0.1	0
-2.0778	-0.31	-0.1	0
-2.0631	-0.3	-0.1	0
-2.04	-0.29	-0.1	0
-2.0087	-0.28	-0.1	0
-1.9691	-0.27	-0.1	0
-1.9214	-0.26	-0.1	0
-1.8006	-0.24	-0.1	0
-1.7273	-0.23	-0.1	0
-1.6469	-0.22	-0.1	0
-1.5588	-0.21	-0.1	0
-1.4639	-0.2	-0.1	0
-1.3625	-0.19	-0.1	0
-1.2549	-0.18	-0.1	0
-1.1419	-0.17	-0.1	0
-1.0237	-0.16	-0.1	0
-0.90077	-0.15	-0.1	0
-0.7735	-0.14	-0.1	0
-0.6426	-0.13	-0.1	0
-0.50858	-0.12	-0.1	0
-0.37197	-0.11	-0.1	0
-0.23331	-0.1	-0.1	0
-0.093105	-0.09	-0.1	0
0.04802	-0.08	-0.1	0
0.18947	-0.07	-0.1	0
0.33071	-0.06	-0.1	0
0.47113	-0.05	-0.1	0
0.61022	-0.04	-0.1	0
0.74734	-0.03	-0.1	0
0.88194	-0.02	-0.1	0
1.0135	-0.01	-0.1	0
1.1415	-6.8806e-13	-0.1	0
1.2654	0.01	-0.1	0
1.3846	0.02	-0.1	0
1.4989	0.03	-0.1	0
1.6077	0.04	-0.1	0
1.7104	0.05	-0.1	0
1.8066	0.06	-0.1	0
1.896	0.07	-0.1	0
1.9783	0.08	-0.1	0
2.0532	0.09	-0.1	0
2.1201	0.1	-0.1	0
2.179	0.11	-0.1	0
2.2295	0.12	-0.1	0
2.2716	0.13	-0.1	0
2.3049	0.14	-0.1	0
2.3293	0.15	-0.1	0
2.3449	0.16	-0.1	0
2.3514	0.17	-0.1	0
2.3488	0.18	-0.1	0
2.3374	0.19	-0.1	0
2.3168	0.2	-0.1	0
2.2872	0.21	-0.1	0
2.2489	0.22	-0.1	0
2.2014	0.23	-0.1	0
2.1466	0.24	-0.1	0
