"f_1110-0"	"Points:0"	"Points:1"	"Points:2"
0.022515	-0.5	-0.1	0
-2.1972	-0.25	-0.1	0
-0.070625	0.25	-0.1	0
0.022515	0.5	-0.1	0
0.022515	0.5	0.1	0
-0.070625	0.25	0.1	0
-2.1972	-0.25	0.1	0
0.022515	-0.5	0.1	0
-0.04652	-0.49	-0.1	0
-0.11978	-0.48	-0.1	0
-0.19694	-0.47	-0.1	0
-0.27781	-0.46	-0.1	0
-0.3621	-0.45	-0.1	0
-0.44938	-0.44	-0.1	0
-0.53939	-0.43	-0.1	0
-0.63175	-0.42	-0.1	0
-0.72609	-0.41	-0.1	0
-0.82207	-0.4	-0.1	0
-0.91926	-0.39	-0.1	0
-1.0173	-0.38	-0.1	0
-1.1159	-0.37	-0.1	0
-1.2145	-0.36	-0.1	0
-1.3128	-0.35	-0.1	0
-1.4104	-0.34	-0.1	0
-1.507	-0.33	-0.1	0
-1.6021	-0.32	-0.1	0
-1.6954	-0.31	-0.1	0
-1.7865	-0.3	-0.1	0
-1.875	-0.29	-0.1	0
-1.9607	-0.28	-0.1	0
-2.0431	-0.27	-0.1	0
-2.122	-0.26	-0.1	0
-2.2735	-0.24	-0.1	0
-2.3454	-0.23	-0.1	0
-2.4126	-0.22	-0.1	0
-2.4743	-0.21	-0.1	0
-2.5307	-0.2	-0.1	0
-2.5813	-0.19	-0.1	0
-2.6261	-0.18	-0.1	0
-2.6649	-0.17	-0.1	0
-2.6976	-0.16	-0.1	0
-2.724	-0.15	-0.1	0
-2.7437	-0.14	-0.1	0
-2.757	-0.13	-0.1	0
-2.7638	-0.12	-0.1	0
-2.7641	-0.11	-0.1	0
-2.7579	-0.1	-0.1	0
-2.745	-0.09	-0.1	0
-2.7255	-0.08	-0.1	0
-2.6997	-0.07	-0.1	0
-2.6677	-0.06	-0.1	0
-2.6294	-0.05	-0.1	0
-2.5853	-0.04	-0.1	0
-2.5353	-0.03	-0.1	0
-2.4796	-0.02	-0.1	0
-2.4186	-0.01	-0.1	0
-2.3524	-6.8806e-13	-0.1	0
-2.2815	0.01	-0.1	0
-2.2059	0.02	-0.1	0
-2.1262	0.03	-0.1	0
-2.0426	0.04	-0.1	0
-1.9554	0.05	-0.1	0
-1.865	0.06	-0.1	0
-1.7717	0.07	-0.1	0
-1.676	0.08	-0.1	0
-1.5783	0.09	-0.1	0
-1.4789	0.1	-0.1	0
-1.3783	0.11	-0.1	0
-1.2769	0.12	-0.1	0
-1.175	0.13	-0.1	0
-1.0732	0.14	-0.1	0
-0.97181	0.15	-0.1	0
-0.87127	0.16	-0.1	0
-0.772	0.17	-0.1	0
-0.67441	0.18	-0.1	0
-0.57886	0.19	-0.1	0
-0.48582	0.2	-0.1	0
-0.39567	0.21	-0.1	0
-0.30867	0.22	-0.1	0
-0.22559	0.23	-0.1	0
-0.14583	0.24	-0.1	0
-0.00028756	0.26	-0.1	0
0.065687	0.27	-0.1	0
0.12703	0.28	-0.1	0
0.18329	0.29	-0.1	0
0.23432	0.3	-0.1	0
0.27997	0.31	-0.1	0
0.32001	0.32	-0.1	0
0.35438	0.33	-0.1	0
0.38288	0.34	-0.1	0
0.40533	0.35	-0.1	0
0.42173	0.36	-0.1	0
0.43198	0.37	-0.1	0
0.43618	0.38	-0.1	0
0.43416	0.39	-0.1	0
0.42579	0.4	-0.1	0
0.41137	0.41	-0.1	0
0.39091	0.42	-0.1	0
0.36445	0.43	-0.1	0
0.33197	0.44	-0.1	0
0.29381	0.45	-0.1	0
0.24998	0.46	-0.1	0
0.20077	0.47	-0.1	0
0.14624	0.48	-0.1	0
0.086694	0.49	-0.1	0
0.022238	0.5	-0.09	0
0.022272	0.5	-0.08	0
0.02252	0.5	-0.07	0
0.02235	0.5	-0.06	0
0.02228	0.5	-0.05	0
0.022444	0.5	-0.04	0
0.022321	0.5	-0.03	0
0.022453	0.5	-0.02	0
0.022272	0.5	-0.01	0
0.022421	0.5	-2.6559e-13	0
0.022289	0.5	0.01	0
0.022336	0.5	0.02	0
0.022351	0.5	0.03	0
0.022533	0.5	0.04	0
0.022391	0.5	0.05	0
0.02251	0.5	0.06	0
0.022334	0.5	0.07	0
0.022319	0.5	0.08	0
0.022276	0.5	0.09	0
0.086694	0.49	0.1	0
0.14624	0.48	0.1	0
0.20077	0.47	0.1	0
0.24998	0.46	0.1	0
0.29381	0.45	0.1	0
0.33197	0.44	0.1	0
0.36445	0.43	0.1	0
0.39091	0.42	0.1	0
0.41137	0.41	0.1	0
0.42579	0.4	0.1	0
0.43416	0.39	0.1	0
0.43618	0.38	0.1	0
0.43198	0.37	0.1	0
0.42173	0.36	0.1	0
0.40533	0.35	0.1	0
0.38288	0.34	0.1	0
0.35438	0.33	0.1	0
0.32001	0.32	0.1	0
0.27997	0.31	0.1	0
0.23432	0.3	0.1	0
0.18329	0.29	0.1	0
0.12703	0.28	0.1	0
0.065687	0.27	0.1	0
-0.00028756	0.26	0.1	0
-0.14583	0.24	0.1	0
-0.22559	0.23	0.1	0
-0.30867	0.22	0.1	0
-0.39567	0.21	0.1	0
-0.48582	0.2	0.1	0
-0.57886	0.19	0.1	0
-0.67441	0.18	0.1	0
-0.772	0.17	0.1	0
-0.87127	0.16	0.1	0
-0.97181	0.15	0.1	0
-1.0732	0.14	0.1	0
-1.175	0.13	0.1	0
-1.2769	0.12	0.1	0
-1.3783	0.11	0.1	0
-1.4789	0.1	0.1	0
-1.5783	0.09	0.1	0
-1.676	0.08	0.1	0
-1.7717	0.07	0.1	0
-1.865	0.06	0.1	0
-1.9554	0.05	0.1	0
-2.0426	0.04	0.1	0
-2.1262	0.03	0.1	0
-2.2059	0.02	0.1	0
-2.2815	0.01	0.1	0
-2.3524	6.8806e-13	0.1	0
-2.4186	-0.01	0.1	0
-2.4796	-0.02	0.1	0
-2.5353	-0.03	0.1	0
-2.5853	-0.04	0.1	0
-2.6294	-0.05	0.1	0
-2.6677	-0.06	0.1	0
-2.6997	-0.07	0.1	0
-2.7255	-0.08	0.1	0
